**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/countFunc  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 1200
```
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                    @message                                                                                    |
|-------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-27 16:59:57.828 | END RequestId: 4976dca9-1eff-4e38-8cb6-bf2dbc03e7ae                                                                                                                            |
| 2019-10-27 16:59:57.828 | REPORT RequestId: 4976dca9-1eff-4e38-8cb6-bf2dbc03e7ae Duration: 49782.97 ms Billed Duration: 49800 ms Memory Size: 1024 MB Max Memory Used: 230 MB                            |
| 2019-10-27 16:59:57.826 | 2019-10-27T16:59:57.813Z 4976dca9-1eff-4e38-8cb6-bf2dbc03e7ae INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:54.268 | REPORT RequestId: 3f4a38f2-15d6-4e53-8d03-a693ea529ab7 Duration: 49454.46 ms Billed Duration: 49500 ms Memory Size: 1024 MB Max Memory Used: 230 MB                            |
| 2019-10-27 16:59:54.253 | END RequestId: 3f4a38f2-15d6-4e53-8d03-a693ea529ab7                                                                                                                            |
| 2019-10-27 16:59:54.252 | 2019-10-27T16:59:54.252Z 3f4a38f2-15d6-4e53-8d03-a693ea529ab7 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:51.630 | END RequestId: a2a1d604-95bc-489e-9fac-392c2d62dfe2                                                                                                                            |
| 2019-10-27 16:59:51.630 | REPORT RequestId: a2a1d604-95bc-489e-9fac-392c2d62dfe2 Duration: 49602.26 ms Billed Duration: 49700 ms Memory Size: 1024 MB Max Memory Used: 231 MB                            |
| 2019-10-27 16:59:51.620 | 2019-10-27T16:59:51.619Z a2a1d604-95bc-489e-9fac-392c2d62dfe2 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:47.540 | END RequestId: 10ea3aff-9f92-4c46-bcdd-3449b7b58e85                                                                                                                            |
| 2019-10-27 16:59:47.540 | REPORT RequestId: 10ea3aff-9f92-4c46-bcdd-3449b7b58e85 Duration: 48944.78 ms Billed Duration: 49000 ms Memory Size: 1024 MB Max Memory Used: 231 MB                            |
| 2019-10-27 16:59:47.539 | 2019-10-27T16:59:47.538Z 10ea3aff-9f92-4c46-bcdd-3449b7b58e85 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:46.235 | END RequestId: d9bf2d09-009c-4f7f-8652-f41c68c86786                                                                                                                            |
| 2019-10-27 16:59:46.235 | REPORT RequestId: d9bf2d09-009c-4f7f-8652-f41c68c86786 Duration: 50569.49 ms Billed Duration: 50600 ms Memory Size: 1024 MB Max Memory Used: 230 MB                            |
| 2019-10-27 16:59:46.233 | 2019-10-27T16:59:46.233Z d9bf2d09-009c-4f7f-8652-f41c68c86786 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:43.043 | REPORT RequestId: f339a7c3-d72d-42ce-9bc4-3d5d2a9d0635 Duration: 50517.34 ms Billed Duration: 50600 ms Memory Size: 1024 MB Max Memory Used: 229 MB                            |
| 2019-10-27 16:59:43.042 | END RequestId: f339a7c3-d72d-42ce-9bc4-3d5d2a9d0635                                                                                                                            |
| 2019-10-27 16:59:43.041 | 2019-10-27T16:59:43.041Z f339a7c3-d72d-42ce-9bc4-3d5d2a9d0635 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:39.205 | END RequestId: 49b9b108-bca9-4e76-a12e-53a573d24dc2                                                                                                                            |
| 2019-10-27 16:59:39.205 | REPORT RequestId: 49b9b108-bca9-4e76-a12e-53a573d24dc2 Duration: 49538.57 ms Billed Duration: 49600 ms Memory Size: 1024 MB Max Memory Used: 230 MB                            |
| 2019-10-27 16:59:39.203 | 2019-10-27T16:59:39.203Z 49b9b108-bca9-4e76-a12e-53a573d24dc2 INFO Tot: 314572800, Occ: 161812530                                                                              |
| 2019-10-27 16:59:36.096 | END RequestId: 92daa116-ee27-413f-8001-631ec2c6b792                                                                                                                            |
