**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/countFunc  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 5926
```
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                     @message                                                                                     |
|-------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-27 17:49:46.721 | REPORT RequestId: 3e65a921-1fff-4df8-a198-8eaaa429307d Duration: 95497.15 ms Billed Duration: 95500 ms Memory Size: 1024 MB Max Memory Used: 229 MB                              |
| 2019-10-27 17:49:46.720 | END RequestId: 3e65a921-1fff-4df8-a198-8eaaa429307d                                                                                                                              |
| 2019-10-27 17:49:42.310 | END RequestId: dcfc5368-fabc-41d9-a8f6-6f0e55a1aa95                                                                                                                              |
| 2019-10-27 17:49:42.310 | REPORT RequestId: dcfc5368-fabc-41d9-a8f6-6f0e55a1aa95 Duration: 94974.43 ms Billed Duration: 95000 ms Memory Size: 1024 MB Max Memory Used: 231 MB                              |
| 2019-10-27 17:49:42.301 | END RequestId: 8c5d7ed7-1313-466f-b507-a1ecb928168f                                                                                                                              |
| 2019-10-27 17:49:42.301 | REPORT RequestId: 8c5d7ed7-1313-466f-b507-a1ecb928168f Duration: 93428.31 ms Billed Duration: 93500 ms Memory Size: 1024 MB Max Memory Used: 227 MB                              |
| 2019-10-27 17:49:35.111 | END RequestId: 0089463b-1ea8-4056-b3a9-3a31caadf65a                                                                                                                              |
| 2019-10-27 17:49:35.111 | REPORT RequestId: 0089463b-1ea8-4056-b3a9-3a31caadf65a Duration: 94273.03 ms Billed Duration: 94300 ms Memory Size: 1024 MB Max Memory Used: 228 MB                              |
| 2019-10-27 17:49:35.109 | 2019-10-27T17:49:35.109Z 0089463b-1ea8-4056-b3a9-3a31caadf65a INFO Tot: 629145600, Occ: 308792076                                                                                |
| 2019-10-27 17:49:31.517 | 2019-10-27T17:49:31.504Z 0d7c1fda-0df2-48d1-9308-294c116d257d INFO Tot: 629145600, Occ: 308792076                                                                                |
| 2019-10-27 17:49:29.799 | END RequestId: f9e98af2-6193-4da7-82d8-04e5ddf6830b                                                                                                                              |
| 2019-10-27 17:49:29.799 | REPORT RequestId: f9e98af2-6193-4da7-82d8-04e5ddf6830b Duration: 92485.06 ms Billed Duration: 92500 ms Memory Size: 1024 MB Max Memory Used: 231 MB                              |
| 2019-10-27 17:49:29.797 | 2019-10-27T17:49:29.784Z f9e98af2-6193-4da7-82d8-04e5ddf6830b INFO Tot: 629145600, Occ: 308792076                                                                                |
| 2019-10-27 17:49:27.621 | END RequestId: 59bbf575-89c6-478d-bd54-32486d73903e                                                                                                                              |
| 2019-10-27 17:49:27.621 | REPORT RequestId: 59bbf575-89c6-478d-bd54-32486d73903e Duration: 95798.31 ms Billed Duration: 95800 ms Memory Size: 1024 MB Max Memory Used: 231 MB                              |
| 2019-10-27 17:49:27.619 | 2019-10-27T17:49:27.619Z 59bbf575-89c6-478d-bd54-32486d73903e INFO Tot: 629145600, Occ: 308792076                                                                                |
