**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/countFunc  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 4000
```
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                   @message                                                                                    |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-28 09:34:17.735 | END RequestId: c2bb0c33-60fc-4804-9bdf-c2fc7e939a77                                                                                                                           |
| 2019-10-28 09:34:17.735 | REPORT RequestId: c2bb0c33-60fc-4804-9bdf-c2fc7e939a77 Duration: 51222.43 ms Billed Duration: 51300 ms Memory Size: 512 MB Max Memory Used: 158 MB                            |
| 2019-10-28 09:34:17.717 | 2019-10-28T09:34:17.717Z c2bb0c33-60fc-4804-9bdf-c2fc7e939a77 INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:34:09.923 | END RequestId: eaaba836-a295-4d48-a111-cd384e1e7e9c                                                                                                                           |
| 2019-10-28 09:34:09.923 | REPORT RequestId: eaaba836-a295-4d48-a111-cd384e1e7e9c Duration: 46380.88 ms Billed Duration: 46400 ms Memory Size: 512 MB Max Memory Used: 158 MB                            |
| 2019-10-28 09:34:09.922 | 2019-10-28T09:34:09.922Z eaaba836-a295-4d48-a111-cd384e1e7e9c INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:34:08.921 | END RequestId: 66600d0c-c1c5-4ca3-b9ae-f97f90db801b                                                                                                                           |
| 2019-10-28 09:34:08.921 | REPORT RequestId: 66600d0c-c1c5-4ca3-b9ae-f97f90db801b Duration: 48536.09 ms Billed Duration: 48600 ms Memory Size: 512 MB Max Memory Used: 160 MB                            |
| 2019-10-28 09:34:08.920 | 2019-10-28T09:34:08.904Z 66600d0c-c1c5-4ca3-b9ae-f97f90db801b INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:34:07.572 | END RequestId: 775237c6-e2fb-4f55-9bd6-b2e92d0c5e96                                                                                                                           |
| 2019-10-28 09:34:07.572 | REPORT RequestId: 775237c6-e2fb-4f55-9bd6-b2e92d0c5e96 Duration: 50026.02 ms Billed Duration: 50100 ms Memory Size: 512 MB Max Memory Used: 161 MB                            |
| 2019-10-28 09:34:07.570 | 2019-10-28T09:34:07.570Z 775237c6-e2fb-4f55-9bd6-b2e92d0c5e96 INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:34:05.729 | END RequestId: 19e15077-58b8-43b0-8ee8-c3ef4d6b02d8                                                                                                                           |
| 2019-10-28 09:34:05.729 | REPORT RequestId: 19e15077-58b8-43b0-8ee8-c3ef4d6b02d8 Duration: 51308.21 ms Billed Duration: 51400 ms Memory Size: 512 MB Max Memory Used: 160 MB                            |
| 2019-10-28 09:34:05.727 | 2019-10-28T09:34:05.727Z 19e15077-58b8-43b0-8ee8-c3ef4d6b02d8 INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:34:00.875 | END RequestId: 9d3b6e83-fb8d-4be7-9967-80ff56647fc4                                                                                                                           |
| 2019-10-28 09:34:00.875 | REPORT RequestId: 9d3b6e83-fb8d-4be7-9967-80ff56647fc4 Duration: 49534.99 ms Billed Duration: 49600 ms Memory Size: 512 MB Max Memory Used: 158 MB                            |
| 2019-10-28 09:34:00.873 | 2019-10-28T09:34:00.873Z 9d3b6e83-fb8d-4be7-9967-80ff56647fc4 INFO Tot: 157286400, Occ: 78634911                                                                              |
| 2019-10-28 09:33:58.388 | END RequestId: 96bb1eb3-3ad1-4f20-bb5e-3422510bfc01                                                                                                                           |
| 2019-10-28 09:33:58.388 | REPORT RequestId: 96bb1eb3-3ad1-4f20-bb5e-3422510bfc01 Duration: 49956.10 ms Billed Duration: 50000 ms Memory Size: 512 MB Max Memory Used: 161 MB                            |
| 2019-10-28 09:33:58.387 | 2019-10-28T09:33:58.387Z 96bb1eb3-3ad1-4f20-bb5e-3422510bfc01 INFO Tot: 157286400, Occ: 78634911                                                                              |
