**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/eratostene  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 926

```
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                  @message                                                                                   |
|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-26 10:30:46.820 | END RequestId: 6f28c8b7-7ed6-4016-b950-0253d4e7fd51                                                                                                                         |
| 2019-10-26 10:30:46.820 | REPORT RequestId: 6f28c8b7-7ed6-4016-b950-0253d4e7fd51 Duration: 4316.34 ms Billed Duration: 4400 ms Memory Size: 512 MB Max Memory Used: 498 MB                            |
| 2019-10-26 10:30:43.926 | REPORT RequestId: 36dc1c95-2d0b-4d1e-92f0-38a1440b2894 Duration: 4481.51 ms Billed Duration: 4500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 10:30:43.925 | END RequestId: 36dc1c95-2d0b-4d1e-92f0-38a1440b2894                                                                                                                         |
| 2019-10-26 10:30:42.486 | START RequestId: 6f28c8b7-7ed6-4016-b950-0253d4e7fd51 Version: $LATEST                                                                                                      |
| 2019-10-26 10:30:40.741 | REPORT RequestId: 72c1f1fd-28cf-4872-8de4-2aaf9beb1e7d Duration: 4307.33 ms Billed Duration: 4400 ms Memory Size: 512 MB Max Memory Used: 497 MB                            |
| 2019-10-26 10:30:40.741 | END RequestId: 72c1f1fd-28cf-4872-8de4-2aaf9beb1e7d                                                                                                                         |
| 2019-10-26 10:30:39.425 | START RequestId: 36dc1c95-2d0b-4d1e-92f0-38a1440b2894 Version: $LATEST                                                                                                      |
| 2019-10-26 10:30:37.891 | END RequestId: 487a7aad-3585-44d9-9fb4-45179cc30630                                                                                                                         |
| 2019-10-26 10:30:37.891 | REPORT RequestId: 487a7aad-3585-44d9-9fb4-45179cc30630 Duration: 4567.97 ms Billed Duration: 4600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 10:30:36.430 | START RequestId: 72c1f1fd-28cf-4872-8de4-2aaf9beb1e7d Version: $LATEST                                                                                                      |
| 2019-10-26 10:30:34.760 | REPORT RequestId: 6c7ce115-19f6-453c-b642-f1e4332d6a13 Duration: 4349.06 ms Billed Duration: 4400 ms Memory Size: 512 MB Max Memory Used: 497 MB                            |
| 2019-10-26 10:30:34.760 | END RequestId: 6c7ce115-19f6-453c-b642-f1e4332d6a13                                                                                                                         |
| 2019-10-26 10:30:33.321 | START RequestId: 487a7aad-3585-44d9-9fb4-45179cc30630 Version: $LATEST                                                                                                      |
| 2019-10-26 10:30:31.853 | REPORT RequestId: 66b74e15-c4a9-42cc-be6c-3f09d1a60a21 Duration: 4551.95 ms Billed Duration: 4600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 10:30:31.853 | END RequestId: 66b74e15-c4a9-42cc-be6c-3f09d1a60a21                                                                                                                         |
| 2019-10-26 10:30:30.392 | START RequestId: 6c7ce115-19f6-453c-b642-f1e4332d6a13 Version: $LATEST                                                                                                      |
| 2019-10-26 10:30:28.703 | END RequestId: e5197dbd-d8cd-4e01-9888-77028c63360c                                                                                                                         |
| 2019-10-26 10:30:28.703 | REPORT RequestId: e5197dbd-d8cd-4e01-9888-77028c63360c Duration: 4325.47 ms Billed Duration: 4400 ms Memory Size: 512 MB Max Memory Used: 496 MB                            |
