**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/eratostene  
start-time: 2019-09-25T16:03:00.999Z  
end-time: 2019-10-25T16:37:26.000Z  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 927
```
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                  @message                                                                                   |
|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-25 16:18:35.852 | END RequestId: 1b259b6a-1a16-4454-89f2-02b7fbe59e9c                                                                                                                         |
| 2019-10-25 16:18:35.852 | REPORT RequestId: 1b259b6a-1a16-4454-89f2-02b7fbe59e9c Duration: 1076.25 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:34.755 | START RequestId: 1b259b6a-1a16-4454-89f2-02b7fbe59e9c Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:32.773 | END RequestId: 9a427860-e77f-4f8e-974a-c31e216c6dd1                                                                                                                         |
| 2019-10-25 16:18:32.773 | REPORT RequestId: 9a427860-e77f-4f8e-974a-c31e216c6dd1 Duration: 1023.80 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:31.748 | START RequestId: 9a427860-e77f-4f8e-974a-c31e216c6dd1 Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:29.753 | END RequestId: 904e1cf5-7729-44d3-b169-c92a808e1e2a                                                                                                                         |
| 2019-10-25 16:18:29.753 | REPORT RequestId: 904e1cf5-7729-44d3-b169-c92a808e1e2a Duration: 1049.63 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:28.700 | START RequestId: 904e1cf5-7729-44d3-b169-c92a808e1e2a Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:26.753 | REPORT RequestId: 4dfbbf82-0313-4827-91c1-76ece2ddec48 Duration: 1080.39 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:26.753 | END RequestId: 4dfbbf82-0313-4827-91c1-76ece2ddec48                                                                                                                         |
| 2019-10-25 16:18:25.670 | START RequestId: 4dfbbf82-0313-4827-91c1-76ece2ddec48 Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:23.692 | REPORT RequestId: a8978b03-0981-4346-98e1-4c1137a2d08d Duration: 1023.11 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:23.692 | END RequestId: a8978b03-0981-4346-98e1-4c1137a2d08d                                                                                                                         |
| 2019-10-25 16:18:22.648 | START RequestId: a8978b03-0981-4346-98e1-4c1137a2d08d Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:20.752 | REPORT RequestId: 02d886b4-c8c1-4349-9304-cdcc1927bcaf Duration: 1085.51 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:20.733 | END RequestId: 02d886b4-c8c1-4349-9304-cdcc1927bcaf                                                                                                                         |
| 2019-10-25 16:18:19.646 | START RequestId: 02d886b4-c8c1-4349-9304-cdcc1927bcaf Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:17.712 | REPORT RequestId: 905ee4c0-981c-4b86-a70a-78af8e62f316 Duration: 1066.51 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:17.712 | END RequestId: 905ee4c0-981c-4b86-a70a-78af8e62f316                                                                                                                         |
| 2019-10-25 16:18:16.625 | START RequestId: 905ee4c0-981c-4b86-a70a-78af8e62f316 Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:14.713 | REPORT RequestId: d156cd6f-28c7-4dd3-ae34-aee89d7077f8 Duration: 1088.11 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:14.713 | END RequestId: d156cd6f-28c7-4dd3-ae34-aee89d7077f8                                                                                                                         |
| 2019-10-25 16:18:13.622 | START RequestId: d156cd6f-28c7-4dd3-ae34-aee89d7077f8 Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:11.634 | END RequestId: 434ad5d8-b3e8-46ae-80ee-71625bbee91a                                                                                                                         |
| 2019-10-25 16:18:11.634 | REPORT RequestId: 434ad5d8-b3e8-46ae-80ee-71625bbee91a Duration: 1035.93 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:10.595 | START RequestId: 434ad5d8-b3e8-46ae-80ee-71625bbee91a Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:08.572 | END RequestId: 43dc7980-2120-4c6d-b8bb-6f2286a2a5f0                                                                                                                         |
| 2019-10-25 16:18:08.572 | REPORT RequestId: 43dc7980-2120-4c6d-b8bb-6f2286a2a5f0 Duration: 1008.56 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:07.542 | START RequestId: 43dc7980-2120-4c6d-b8bb-6f2286a2a5f0 Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:05.592 | END RequestId: 8ebfea7f-24e7-48bf-ad97-2d8a091a582c                                                                                                                         |
| 2019-10-25 16:18:05.592 | REPORT RequestId: 8ebfea7f-24e7-48bf-ad97-2d8a091a582c Duration: 1061.53 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:04.510 | START RequestId: 8ebfea7f-24e7-48bf-ad97-2d8a091a582c Version: $LATEST                                                                                                      |
| 2019-10-25 16:18:02.572 | END RequestId: d6b94f18-8735-49b0-ab6d-80881f9dc98a                                                                                                                         |
| 2019-10-25 16:18:02.572 | REPORT RequestId: d6b94f18-8735-49b0-ab6d-80881f9dc98a Duration: 1026.72 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:18:01.525 | START RequestId: d6b94f18-8735-49b0-ab6d-80881f9dc98a Version: $LATEST                                                                                                      |
| 2019-10-25 16:17:59.512 | END RequestId: 5f2fb4b2-8bac-423e-b25a-47d52b8f17f2                                                                                                                         |
| 2019-10-25 16:17:59.512 | REPORT RequestId: 5f2fb4b2-8bac-423e-b25a-47d52b8f17f2 Duration: 1007.62 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:17:58.482 | START RequestId: 5f2fb4b2-8bac-423e-b25a-47d52b8f17f2 Version: $LATEST                                                                                                      |
| 2019-10-25 16:17:56.532 | END RequestId: 64c0fb62-e87c-4083-bf0b-31f5adf2a61f                                                                                                                         |
| 2019-10-25 16:17:56.532 | REPORT RequestId: 64c0fb62-e87c-4083-bf0b-31f5adf2a61f Duration: 1015.99 ms Billed Duration: 1100 ms Memory Size: 128 MB Max Memory Used: 128 MB                            |
| 2019-10-25 16:17:55.515 | START RequestId: 64c0fb62-e87c-4083-bf0b-31f5adf2a61f Version: $LATEST                                                                                                      |
