**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/eratostene  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 903

```
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                  @message                                                                                   |
|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-25 17:07:51.358 | END RequestId: cdb24f0f-2961-4faa-ad69-2d59beff5124                                                                                                                         |
| 2019-10-25 17:07:51.358 | REPORT RequestId: cdb24f0f-2961-4faa-ad69-2d59beff5124 Duration: 6384.44 ms Billed Duration: 6400 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:48.875 | END RequestId: c4523abe-00a7-4699-ae08-d8b8641f5dfc                                                                                                                         |
| 2019-10-25 17:07:48.875 | REPORT RequestId: c4523abe-00a7-4699-ae08-d8b8641f5dfc Duration: 6921.39 ms Billed Duration: 7000 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:45.637 | END RequestId: fe06374b-86c1-43c5-946a-d6e1839ae805                                                                                                                         |
| 2019-10-25 17:07:45.637 | REPORT RequestId: fe06374b-86c1-43c5-946a-d6e1839ae805 Duration: 6709.33 ms Billed Duration: 6800 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:44.952 | START RequestId: cdb24f0f-2961-4faa-ad69-2d59beff5124 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:42.399 | END RequestId: edc3a34b-6d22-4f08-845e-325a590d5b08                                                                                                                         |
| 2019-10-25 17:07:42.399 | REPORT RequestId: edc3a34b-6d22-4f08-845e-325a590d5b08 Duration: 6457.93 ms Billed Duration: 6500 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:41.952 | START RequestId: c4523abe-00a7-4699-ae08-d8b8641f5dfc Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:40.414 | END RequestId: 89885de7-b06b-471d-9946-df889ee4f773                                                                                                                         |
| 2019-10-25 17:07:40.414 | REPORT RequestId: 89885de7-b06b-471d-9946-df889ee4f773 Duration: 7537.69 ms Billed Duration: 7600 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:38.926 | START RequestId: fe06374b-86c1-43c5-946a-d6e1839ae805 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:36.796 | END RequestId: c283d4c9-0662-43ee-8547-6f6c53e53bc9                                                                                                                         |
| 2019-10-25 17:07:36.796 | REPORT RequestId: c283d4c9-0662-43ee-8547-6f6c53e53bc9 Duration: 6938.97 ms Billed Duration: 7000 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:35.939 | START RequestId: edc3a34b-6d22-4f08-845e-325a590d5b08 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:33.278 | END RequestId: ce766c0b-46f9-4105-a9d8-a397d1e0d866                                                                                                                         |
| 2019-10-25 17:07:33.278 | REPORT RequestId: ce766c0b-46f9-4105-a9d8-a397d1e0d866 Duration: 6430.99 ms Billed Duration: 6500 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:32.875 | START RequestId: 89885de7-b06b-471d-9946-df889ee4f773 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:30.674 | END RequestId: 9da74004-c97e-4ef6-aa1a-9d87391b37e6                                                                                                                         |
| 2019-10-25 17:07:30.674 | REPORT RequestId: 9da74004-c97e-4ef6-aa1a-9d87391b37e6 Duration: 6890.68 ms Billed Duration: 6900 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:29.856 | START RequestId: c283d4c9-0662-43ee-8547-6f6c53e53bc9 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:28.136 | END RequestId: 83f743de-569d-41cc-ab03-0d835066ee03                                                                                                                         |
| 2019-10-25 17:07:28.136 | REPORT RequestId: 83f743de-569d-41cc-ab03-0d835066ee03 Duration: 7338.91 ms Billed Duration: 7400 ms Memory Size: 256 MB Max Memory Used: 256 MB                            |
| 2019-10-25 17:07:26.825 | START RequestId: ce766c0b-46f9-4105-a9d8-a397d1e0d866 Version: $LATEST                                                                                                      |
| 2019-10-25 17:07:24.098 | END RequestId: 927f5793-c1fd-4970-a3c3-90caa6bbd760                                                                                                                         |
