**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/eratostene  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 900

```
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                  @message                                                                                   |
|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-26 12:39:36.163 | REPORT RequestId: 53e89845-c35b-42ec-b75b-c90daf80fe50 Duration: 7980.05 ms Billed Duration: 8000 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:36.163 | END RequestId: 53e89845-c35b-42ec-b75b-c90daf80fe50                                                                                                                         |
| 2019-10-26 12:39:32.671 | END RequestId: 8a9d5e97-0211-42a8-9dd2-f80384ec7dc2                                                                                                                         |
| 2019-10-26 12:39:32.671 | REPORT RequestId: 8a9d5e97-0211-42a8-9dd2-f80384ec7dc2 Duration: 7511.37 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:29.668 | END RequestId: 692569f5-dd74-47f1-a4ff-ba85045759d7                                                                                                                         |
| 2019-10-26 12:39:29.668 | REPORT RequestId: 692569f5-dd74-47f1-a4ff-ba85045759d7 Duration: 7530.89 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:28.181 | START RequestId: 53e89845-c35b-42ec-b75b-c90daf80fe50 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:27.085 | END RequestId: 313c6a0e-952f-4940-a9c0-16cefc8a2c62                                                                                                                         |
| 2019-10-26 12:39:27.085 | REPORT RequestId: 313c6a0e-952f-4940-a9c0-16cefc8a2c62 Duration: 7932.29 ms Billed Duration: 8000 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:25.158 | START RequestId: 8a9d5e97-0211-42a8-9dd2-f80384ec7dc2 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:23.670 | END RequestId: ac886c5c-c48e-4653-b5c2-810e6e5a230c                                                                                                                         |
| 2019-10-26 12:39:23.670 | REPORT RequestId: ac886c5c-c48e-4653-b5c2-810e6e5a230c Duration: 7524.01 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:22.135 | START RequestId: 692569f5-dd74-47f1-a4ff-ba85045759d7 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:21.127 | REPORT RequestId: c1d2531a-9e91-4ab6-b1e0-c555aca0f706 Duration: 8112.69 ms Billed Duration: 8200 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:21.127 | END RequestId: c1d2531a-9e91-4ab6-b1e0-c555aca0f706                                                                                                                         |
| 2019-10-26 12:39:19.150 | START RequestId: 313c6a0e-952f-4940-a9c0-16cefc8a2c62 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:17.443 | END RequestId: a6326896-7096-4fac-a55a-54c306c07cf1                                                                                                                         |
| 2019-10-26 12:39:17.443 | REPORT RequestId: a6326896-7096-4fac-a55a-54c306c07cf1 Duration: 7398.29 ms Billed Duration: 7400 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:16.143 | START RequestId: ac886c5c-c48e-4653-b5c2-810e6e5a230c Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:14.551 | REPORT RequestId: 03465783-2229-4bbc-88d0-c66b1ab30903 Duration: 7510.08 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:14.551 | END RequestId: 03465783-2229-4bbc-88d0-c66b1ab30903                                                                                                                         |
| 2019-10-26 12:39:13.012 | START RequestId: c1d2531a-9e91-4ab6-b1e0-c555aca0f706 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:11.267 | END RequestId: f0328567-2327-430a-bc74-f21cccd7feb8                                                                                                                         |
| 2019-10-26 12:39:11.267 | REPORT RequestId: f0328567-2327-430a-bc74-f21cccd7feb8 Duration: 7390.15 ms Billed Duration: 7400 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:10.043 | START RequestId: a6326896-7096-4fac-a55a-54c306c07cf1 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:08.886 | END RequestId: 95d8ba72-1408-4687-8b85-58b86df3531f                                                                                                                         |
| 2019-10-26 12:39:08.886 | REPORT RequestId: 95d8ba72-1408-4687-8b85-58b86df3531f Duration: 7966.90 ms Billed Duration: 8000 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:07.030 | START RequestId: 03465783-2229-4bbc-88d0-c66b1ab30903 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:05.609 | REPORT RequestId: 685a1d51-079a-4161-b744-935d300c4002 Duration: 7983.19 ms Billed Duration: 8000 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:05.609 | END RequestId: 685a1d51-079a-4161-b744-935d300c4002                                                                                                                         |
| 2019-10-26 12:39:03.874 | START RequestId: f0328567-2327-430a-bc74-f21cccd7feb8 Version: $LATEST                                                                                                      |
| 2019-10-26 12:39:02.407 | REPORT RequestId: e464a5b2-1092-4c9d-bbec-8d7538fb64ba Duration: 7452.65 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:39:02.407 | END RequestId: e464a5b2-1092-4c9d-bbec-8d7538fb64ba                                                                                                                         |
| 2019-10-26 12:39:00.917 | START RequestId: 95d8ba72-1408-4687-8b85-58b86df3531f Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:59.383 | REPORT RequestId: b56b7c17-d62f-4e35-accb-f5c7c3c3c3cf Duration: 7461.60 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:59.383 | END RequestId: b56b7c17-d62f-4e35-accb-f5c7c3c3c3cf                                                                                                                         |
| 2019-10-26 12:38:57.623 | START RequestId: 685a1d51-079a-4161-b744-935d300c4002 Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:56.289 | END RequestId: 024451a6-b22d-46d6-af69-500372a17d88                                                                                                                         |
| 2019-10-26 12:38:56.289 | REPORT RequestId: 024451a6-b22d-46d6-af69-500372a17d88 Duration: 7488.92 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:54.952 | START RequestId: e464a5b2-1092-4c9d-bbec-8d7538fb64ba Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:53.268 | REPORT RequestId: 176e5e2c-aa81-4665-b831-6797f23c1f7f Duration: 7402.59 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:53.268 | END RequestId: 176e5e2c-aa81-4665-b831-6797f23c1f7f                                                                                                                         |
| 2019-10-26 12:38:51.919 | START RequestId: b56b7c17-d62f-4e35-accb-f5c7c3c3c3cf Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:50.402 | REPORT RequestId: 852e9c65-b3c5-474a-9043-ec2e6d65af87 Duration: 7632.31 ms Billed Duration: 7700 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:50.386 | END RequestId: 852e9c65-b3c5-474a-9043-ec2e6d65af87                                                                                                                         |
| 2019-10-26 12:38:48.798 | START RequestId: 024451a6-b22d-46d6-af69-500372a17d88 Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:47.388 | END RequestId: 51986a45-8b1f-470f-9ae6-632ac9ee9f9a                                                                                                                         |
| 2019-10-26 12:38:47.388 | REPORT RequestId: 51986a45-8b1f-470f-9ae6-632ac9ee9f9a Duration: 7455.26 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:45.857 | START RequestId: 176e5e2c-aa81-4665-b831-6797f23c1f7f Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:44.346 | REPORT RequestId: 380f964b-3c73-41eb-8506-37a88b2137cb Duration: 7505.26 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:44.346 | END RequestId: 380f964b-3c73-41eb-8506-37a88b2137cb                                                                                                                         |
| 2019-10-26 12:38:42.752 | START RequestId: 852e9c65-b3c5-474a-9043-ec2e6d65af87 Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:41.303 | REPORT RequestId: 34ff952e-1475-489a-b2b1-9b1899e98562 Duration: 7608.71 ms Billed Duration: 7700 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:41.303 | END RequestId: 34ff952e-1475-489a-b2b1-9b1899e98562                                                                                                                         |
| 2019-10-26 12:38:39.915 | START RequestId: 51986a45-8b1f-470f-9ae6-632ac9ee9f9a Version: $LATEST                                                                                                      |
| 2019-10-26 12:38:38.311 | REPORT RequestId: 4d1833c9-5c4e-41b4-b6ef-e34686b2ed28 Duration: 7515.67 ms Billed Duration: 7600 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 12:38:38.311 | END RequestId: 4d1833c9-5c4e-41b4-b6ef-e34686b2ed28                                                                                                                         |
| 2019-10-26 12:38:36.822 | START RequestId: 380f964b-3c73-41eb-8506-37a88b2137cb Version: $LATEST                                                                                                      |
