**CloudWatch Logs Insights**  
region: eu-west-1  
log-group-names: /aws/lambda/eratostene  
start-time: -3600s  
end-time: 0s  
query-string:
```
fields @timestamp, @message
| sort @timestamp desc
| limit 900
```
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       @timestamp        |                                                                                  @message                                                                                   |
|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 2019-10-26 13:05:06.390 | END RequestId: 02a0e8b3-f149-4a0e-90d8-5199dfbc8970                                                                                                                         |
| 2019-10-26 13:05:06.390 | REPORT RequestId: 02a0e8b3-f149-4a0e-90d8-5199dfbc8970 Duration: 7938.64 ms Billed Duration: 8000 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:05:02.769 | END RequestId: bacc7824-8dfe-4f32-b17e-c51942b5b3f8                                                                                                                         |
| 2019-10-26 13:05:02.769 | REPORT RequestId: bacc7824-8dfe-4f32-b17e-c51942b5b3f8 Duration: 7316.16 ms Billed Duration: 7400 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:05:00.432 | REPORT RequestId: d388b95b-f979-4f55-bd1c-081ce70c0ab3 Duration: 8091.28 ms Billed Duration: 8100 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:05:00.432 | END RequestId: d388b95b-f979-4f55-bd1c-081ce70c0ab3                                                                                                                         |
| 2019-10-26 13:04:58.450 | START RequestId: 02a0e8b3-f149-4a0e-90d8-5199dfbc8970 Version: $LATEST                                                                                                      |
| 2019-10-26 13:04:57.370 | REPORT RequestId: e22f2912-4d24-4d74-9369-802b6c6cf054 Duration: 8010.69 ms Billed Duration: 8100 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:04:57.370 | END RequestId: e22f2912-4d24-4d74-9369-802b6c6cf054                                                                                                                         |
| 2019-10-26 13:04:55.450 | START RequestId: bacc7824-8dfe-4f32-b17e-c51942b5b3f8 Version: $LATEST                                                                                                      |
| 2019-10-26 13:04:53.671 | END RequestId: 273a8fdf-e8b0-4797-943b-5a6e5d073a13                                                                                                                         |
| 2019-10-26 13:04:53.671 | REPORT RequestId: 273a8fdf-e8b0-4797-943b-5a6e5d073a13 Duration: 7312.01 ms Billed Duration: 7400 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:04:52.338 | START RequestId: d388b95b-f979-4f55-bd1c-081ce70c0ab3 Version: $LATEST                                                                                                      |
| 2019-10-26 13:04:50.751 | REPORT RequestId: 5a68dde6-85ca-4398-a47c-86ae48798118 Duration: 7457.92 ms Billed Duration: 7500 ms Memory Size: 512 MB Max Memory Used: 512 MB                            |
| 2019-10-26 13:04:50.751 | END RequestId: 5a68dde6-85ca-4398-a47c-86ae48798118                                                                                                                         |
